ID_weigelt,Region,Long,Lat,Archip_weigelt,Archip,Archip_1,Archip_2,Archip_3,Archip_4,Archip_5,Archip_6,Archip_7,Island,Island_1,Area
54372,14,46.222158,-9.38619,Seychelles,Outer*,Outer Islands,Coralline Seychelles,NA,NA,NA,NA,NA,West Island,NA,10.17
54371,14,46.385752,-9.441821,Seychelles,Outer*,Outer Islands,Coralline Seychelles,NA,NA,NA,NA,NA,South Island,Aldabra,119.89
54346,14,46.511512,-9.730865,Seychelles,Outer*,Outer Islands,Coralline Seychelles,NA,NA,NA,NA,NA,Assumption Island,NA,12.08
54330,14,47.741742,-10.086554,Seychelles,Outer*,Outer Islands,Coralline Seychelles,NA,NA,NA,NA,NA,Astove Island,NA,10.89
53698,15,44.455316,-19.620774,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,59.46
53944,15,45.788033,-15.829403,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,15.51
53945,15,45.804382,-15.806881,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,7.07
54284,15,46.696664,-19.381883,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Madagascar,NA,590547.38
53961,15,46.930017,-15.583747,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,5.21
53977,15,47.022507,-15.503247,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,5
53974,15,47.023943,-15.526412,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,5.26
53973,15,47.041088,-15.528609,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,5.32
53998,15,47.198415,-15.436718,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,7.64
54042,15,47.598136,-14.549928,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Lava,NA,31.33
54071,15,47.800797,-14.020192,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Berafia,NA,23.55
54064,15,47.812955,-14.165285,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Valiha,NA,8.37
54036,15,47.921032,-14.64071,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Ambariopotaka,NA,9.12
54027,15,47.999581,-14.731772,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,5.83
54118,15,48.160857,-13.303791,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Sakatia,NA,5.65
54123,15,48.265602,-13.323622,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Be,NA,282.49
54110,15,48.347624,-13.470854,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Ambariovato,NA,24.93
54116,15,48.481403,-13.334218,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Faly,NA,16.18
54153,15,48.592926,-12.890405,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Mitsio,NA,31.48
54187,15,49.589757,-12.607868,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Valasolo,NA,5.57
53982,15,49.7675,-15.495823,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Mangabe,NA,5.84
53829,15,49.912718,-16.894686,Madagascar,Madagascar,Madagascar,NA,NA,NA,NA,NA,NA,Nosy Sainte Marie,NA,171.26
58470,16,52.229794,12.192036,NA,Socotra*,Khuriya Muriya Islands,Socotra,NA,NA,NA,NA,NA,`Abd al Kuri,NA,135.37
58456,16,53.045257,12.155939,NA,Socotra*,Khuriya Muriya Islands,Socotra,NA,NA,NA,NA,NA,Samhah,NA,41.15
58450,16,53.277272,12.118923,NA,Socotra*,Khuriya Muriya Islands,Socotra,NA,NA,NA,NA,NA,Darsah,NA,7.89
58510,16,53.869424,12.507783,Socotra,Socotra*,Khuriya Muriya Islands,Socotra,NA,NA,NA,NA,NA,Suqutra,NA,3608.82
58687,16,56.024161,17.508965,NA,Socotra*,Khuriya Muriya Islands,Socotra,NA,NA,NA,NA,NA,Al Hallaniyah,NA,61
54628,17,55.230665,-4.487211,Seychelles,Seychelles,Seychelles,NA,NA,NA,NA,NA,NA,Silhouette,NA,20.55
54624,17,55.46728,-4.676443,Seychelles,Seychelles,Seychelles,NA,NA,NA,NA,NA,NA,Mahe,NA,163.01
54638,17,55.730145,-4.32388,Seychelles,Seychelles,Seychelles,NA,NA,NA,NA,NA,NA,Praslin,NA,39.32
54633,17,55.837878,-4.360895,Seychelles,Seychelles,Seychelles,NA,NA,NA,NA,NA,NA,La Digue,NA,10.57
54440,17,56.279994,-7.129637,Seychelles,Seychelles,Seychelles,NA,NA,NA,NA,NA,NA,Coetivy,NA,9.98
53611,18,55.532685,-21.133348,Mascarene Islands,Mascarenes*,Mascarene Islands,Rodrigues,NA,NA,NA,NA,NA,Ilet du Gros Galet,Reunion Island,2512.65
53663,18,57.571984,-20.283626,Mascarene Islands,Mascarenes*,Mascarene Islands,Rodrigues,NA,NA,NA,NA,NA,Mauritius,NA,1868.44
53693,18,63.421348,-19.716703,Rodrigues,Mascarenes*,Mascarene Islands,Rodrigues,NA,NA,NA,NA,NA,Ile Rodrigues,NA,111.62
58192,19,73.049226,8.280522,Laccadive Islands,Maldives*,Laccadive Islands,Maldives,NA,NA,NA,NA,NA,Minicoy Island,NA,5.7
57353,19,73.08938,-0.606956,Maldives,Maldives*,Laccadive Islands,Maldives,NA,NA,NA,NA,NA,Hithadhoo,NA,5.6
57355,19,73.424779,-0.295852,Maldives,Maldives*,Laccadive Islands,Maldives,NA,NA,NA,NA,NA,Foammula,NA,5.14
57526,19,73.537969,1.905894,Maldives,Maldives*,Laccadive Islands,Maldives,NA,NA,NA,NA,NA,Gang,NA,8.67
53425,20,77.523034,-38.72216,Ile Saint-Paul,Amsterdam*,Amsterdam and St Paul Islands,Amsterdam Island,St Paul Island,Saint Paul Island,NA,NA,NA,Ile Saint-Paul,NA,9.29
53426,20,77.556596,-37.836307,Amsterdam Island,Amsterdam*,Amsterdam and St Paul Islands,Amsterdam Island,St Paul Island,Saint Paul Island,NA,NA,NA,Ile Amsterdam,NA,55.03
58414,22,92.241649,11.557227,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,North Sentinel Island,NA,46.54
58375,22,92.48721,10.700209,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,Little Andaman,NA,687.43
58416,22,92.546558,11.580562,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,Tarmugli Island,NA,12.45
58403,22,92.640332,11.418195,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,NA,NA,123.23
58468,22,92.670634,11.851999,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,Sandy Island,NA,1264.52
58543,22,92.688139,12.899128,Andaman and Nicobar Islands,Andaman*,Andaman and Nicobar Islands,Andaman Islands,Nicobar Islands,NA,NA,NA,NA,Interview Island,NA,102.75
