"species","ref.date","authority","described"
"Rallus nanus","Alcover, J.A. et al. (2015) Zootaxa, 4057, 151.","Alcover et al. 2015",2015
"Rallus natator","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1942",1942
"Rhodacanthis forfex","James, H.F. & Price, J.P. (2007) Diversity and Distributions, 14, 441–451.","James & Olson 2005",2005
"Rhodacanthis litotes","James, H.F. & Price, J.P. (2007) Diversity and Distributions, 14, 441–451.","James & Olson 2005",2005
"Rhynochetos orarius","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Sarcoramphus fisheri","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Scolopax anthonyi","PaleoDB: Cueva Clara (McFarlande 1999)","Wetmore 1920",1920
"Scolopax brachycarpa","Takano, O.M. & Steadman, D.W. (2015) Zootaxa, 4032, 117.","Takano & Steadman 2015",2015
"Siphonorhis daiquiri","Olson, S.L. (1985) Proceedings of the Biological Society of Washington, 98, 526–532.","Olson 1985",1985
"Spizaetus grinnelli","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1911",1911
"Spizaetus willetti","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1935",1935
"Steganopus graui","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Stephanoaetus mahery","Feduccia, A. (1999) Yale University Press.","Goodman 1994",1994
"Strix brea","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1933",1933
"Struthio anderssoni","Janz, L., Elston, R.G. & Burr, G.S. (2009) Journal of Archaeological Science, 36, 1982–1989.","Lowe & Bate 1931",1931
"Sylviornis neocaledoniae","XXX","Poplin 1980",1980
"Syrigma sanctimartini","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Tachornis uranoceles","Olson, S.L. (1982) The Auk, 99, 230–235.","Olson 1982",1982
"Tachycineta speleodytes","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Brodkorb 1975",1975
"Talpanas lippa","Iwaniuk, A.N. et al. (2009). Zootaxa, 2296, 47–67.","Iwaniuk et al. 2009",2009
"Telespiza persecutrix","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Telespiza ypsilon","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Teratornis merriami","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1909",1909
"Teratornis woodburnensis","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Campbell & Stenger 2002",2002
"Tetrastes daliannsis",NA,"Hou 1992",1992
"Thambetochen chauliodous","James, H.F. & Price, J.P. (2007) Diversity and Distributions, 14, 441–451.","Olson & Wetmore 1976",1976
"Thambetochen xanion","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Theristicus wetmorei","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
