"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"Norfolk*",2,"x263","Porphyrio sp./Norfolk","Norfolk island Gallinule","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",8,"x375","Porphyrio sp./Rota","Rota swamphen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",9,"x374","Porphyrio sp./Tinian","Tinian swamphen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",2,"x141","Procellariidae sp.EasterIsland","Easter island Procellariidae","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Pitcairn*",4,"x283","Prosobonia sp./Henderson","Henderson sandpiper","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cook*",6,"x324","Prosobonia sp./Mangaia","Mangaia sandpiper","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Gambier*",1,"x403","Pseudobulweria sp./Gambier","Mangareva petrel","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",3,"x157","Psittacidae sp./EasterIsland1","Easter island Psitacid sp1","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",4,"x159","Psittacidae sp./EasterIsland2","Easter island Psitacid sp2","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",10,"x380","Psittacidae sp./Rota","Rota parrot","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",32,"x124","Pterodroma jugabilis","Oahu petrel","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",8,"x014","Pterodroma sp./Hierro","Canary islands petrel","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Austral*",5,"x422","Ptilinopus sp./Tubiau","Tubuai Fruit dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",9,"x012","Puffinus holeae","Dune shearwater","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",10,"x013","Puffinus olsoni","Lava Shearwater","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",27,"x241","Puffinus spelaeus","Scarlett's shearwater","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",21,"x602","Pulsatrix arredondoi","Cuban Spectacled Owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",3,"x025","Pyrrhula crassa","Azores large bullfinch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",5,"x146","Rallidae sp./EasterIsland","Easter island rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",11,"x030","Rallus adolfocaesaris","Porto Santo rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",4,"x026","Rallus carvaoensis","S„o Miguel rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas*",5,"x107","Rallus cyanocavi","Medium-sized Abaco rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Balearic*",3,"x006","Rallus eivissensis","Ibiza rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",12,"x029","Rallus lowei","Madeira rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",5,"x027","Rallus montivagorum","Pico rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",6,"x028","Rallus nanus","Sao Jorge rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas*",6,"x115","Rallus sp./Abaco","Large Abaco flightless rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",7,"x031","Rallus sp./Graciosa","Graciosa rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",13,"x018","Rallus sp./Madeira","Madeira undescribed rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",8,"x033","Rallus sp./SantaMaria","Santa Maria rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",9,"x032","Rallus sp./Terceira","Terceira rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",33,"x192","Rhodacanthis forfex","scissor-billed koa finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",34,"x193","Rhodacanthis litotes","primitive koa finch†","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",10,"x292","Rhynochetos orarius","Lowland kagu","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",9,"x078","Scolopax anthonyi","Puerto Rican woodcock","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",10,"x077","Scolopax brachycarpa","Hispaniolan woodcock","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",22,"x092","Scytalopus sp./Cuba","Cuban tapaluco","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",23,"x100","Siphonorhis daiquiri","Cuban poorwill","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",10,"x484","Stephanoaetus mahery","Malagasy crowned eagle","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",11,"x289","Sylviornis neocaledoniae","giant flightless Sylviornis","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",11,"x111","Tachornis uranoceles","Puerto Rican palm swift","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",35,"x203","Talpanas lippa","Kauai mole duck","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",36,"x166","Telespiza aff.ypsilon","Maui Nui finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",37,"x155","Telespiza persecutrix","Kauai finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",38,"x156","Telespiza ypsilon","Molokai finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",39,"x128","Thambetochen chauliodous","Maui Nui moa-nalo","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",40,"x129","Thambetochen xanion","Oahu moa-nalo","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas*",7,"x068","Titanohierax gloveralleni","Bahama eagle","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",12,"x069","Titanohierax sp./Hispaniola","-","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",10,"x021","Troglodytidae sp./Azores","Azores Troglodytidae","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Azores",11,"x022","Turdus sp./Azores","Azores Thrush","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",14,"x010","Turdus sp./Canaries","Canary Thrush","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Canaries*",15,"x019","Turdus sp./Madeira","Madeira Thrush","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",13,"x064","Tyto cavatica","Puerto Rican barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",24,"x060","Tyto cravesae","Crave's giant barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",12,"x290","Tyto letocarti","New Caledonian barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",25,"x063","Tyto noeli","Noel's barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",14,"x062","Tyto ostologa","Hispaniolan barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",26,"x061","Tyto pollens","Bahamian barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Sunda*",2,"x425","Tyto sp./Flores","Flores barn-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck*",6,"x386","Tyto sp./NewIreland1","New ireland lesser barn-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck*",7,"x387","Tyto sp./NewIreland2","New ireland greater barn-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",6,"x160","Tytonidae sp./EasterIsland","Easter island barn owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",11,"x483","Vanellus madagascarensis","Malagasy lapwing","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",41,"x185","Vangulifer mirandus","Strange-billed finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",42,"x186","Vangulifer neophasis","Thin-billed finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",9,"x302","Vini sinotoi","Sinoto's lorikeet","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",10,"x301","Vini vidivici","Conquered lorikeet","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji*",8,"x361","Vitirallus watlingi","Viti Levu rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",12,"x476","Vorombe titan","elephant bird 'Titan'","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",27,"x099","Xenicibis xympithecus","Jamaican ibis","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",43,"x167","Xestospiza conica","Cone-billed finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",44,"x168","Xestospiza fastiglialis","Ridge-billed finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",45,"x139","Zapornia keplerorum","Small Maui crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",46,"x138","Zapornia menehune","Liliput crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",47,"x144","Zapornia ralphorum","Great O?ahu rail†","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cook*",7,"x296","Zapornia rua","Mangaia crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",48,"x145","Zapornia severnsi","Great Maui rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",11,"x372","Zapornia sp./Aguijan","Aguijan crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Easter*",7,"x143","Zapornia sp./EasterIsland","Easter island crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",12,"x300","Zapornia sp./Guam","Guam crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",49,"x270","Zapornia sp./HawaiiLarge","Great Big Island crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",50,"x266","Zapornia sp./HawaiiSmall","Small Big Island crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",51,"x268","Zapornia sp./KauaiGreat","Great Kauai crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",52,"x267","Zapornia sp./KauaiMedium","Medium Kauai crake","fossil",NA,NA,NA,NA,NA,NA,NA,NA
