"x","y","Elev","Temp","Prec","varT","varP","all_spp"
446608,3527101,143.565961081348,24.2935256361404,25,38.2130002204744,50.3140527312554,19
559608,3527101,216.646791764942,24.79743201111,24.0185806973213,38.2116663953798,51.0191524200579,20
672608,3527101,177.906410867474,25.0462756582068,23.8690931834564,38.0652454859005,48,19
785608,3527101,94.5587751522654,25.1079994903805,23.7159507191597,37.248302059096,46.9106370626233,18
898608,3527101,128.278430877652,24.0875556549775,19.5199142517388,36.3847209470066,35.1989408327821,9
1011608,3527101,83.6147718206272,23.3985321433217,14,35.5867228213432,35,7
1124608,3527101,148.736748349745,23.1415071083941,13.1694214899752,35.0500384761096,41,13
1237608,3527101,240.405007020596,23.3471479082753,17.3355694823726,34.9017998398094,41.7834968688933,20
1350608,3527101,150.533332150128,22.8322848253697,16.8549016429512,34.8135146260238,38.5290711617383,20
1463608,3527101,315.259356452357,21.7175743300532,18.1591562047376,33.573715938099,40,14
1576608,3527101,529.24058001769,20.3653355815478,20.8304325866336,32.1566971396623,43.3590085729699,10
1689608,3527101,174.907180294092,21.3700881527734,13.9389971525275,31.8919526488857,41,8
1802608,3527101,70.5565873163693,21.7770520980565,13.3084556424102,32.126784711475,37,8
1915608,3527101,89.871997515004,22.5,8.98485207999095,32.9067258603389,37,5
2028608,3527101,98.6036849936315,22.6,2,33.6116789025132,0,3
2141608,3527101,99.974687571837,22.5420443392919,0,34.2195382617653,0,2
2254608,3527101,79.431332663022,22.1439391020563,2,34.5024943778631,0,2
2367608,3527101,103.68925003704,21.6637806486301,2.96572932673824,33.224576940336,10.5116508958366,3
2480608,3527101,307.788197087972,21.8883317368603,4,32.7,16.7682413848888,14
2593608,3527101,271.623976647278,21.8287278555411,2,32.7001139056457,28,14
2706608,3527101,246.212269529315,22.2978898867706,3,31.7244752786754,0,48
